City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description
124,Castro,-24.79,-50.01,73.53,74,90,4.45,BR,overcast clouds
125,Butaritari,3.07,172.79,80.24,78,90,12.93,KI,overcast clouds
126,Hermanus,-34.42,19.23,62.01,84,68,1.01,ZA,broken clouds
127,Bukama,-9.2,25.85,71.38,92,100,1.83,CD,moderate rain
128,Portree,57.41,-6.19,39.0,89,2,8.01,GB,clear sky
129,Olafsvik,64.89,-23.71,39.81,76,100,23.22,IS,light rain
130,Pueblo Nuevo,23.38,-105.38,67.73,40,1,7.18,MX,clear sky
131,Gryazovets,58.88,40.25,9.59,93,0,7.14,RU,clear sky
132,Geraldton,-28.77,114.6,69.8,77,90,13.87,AU,overcast clouds
133,Bay Roberts,47.6,-53.26,33.01,87,20,4.7,CA,few clouds
134,Sitio Novo Do Tocantins,-5.52,-47.46,80.29,81,90,3.58,BR,light rain
135,Ribeira Grande,38.52,-28.7,60.8,77,40,25.28,PT,scattered clouds
136,Borsa,47.66,24.66,34.0,89,100,1.01,RO,overcast clouds
137,Caravelas,-17.71,-39.25,76.62,76,0,9.4,BR,clear sky
138,Narsaq,60.92,-46.05,23.0,62,75,1.72,GL,broken clouds
139,Rio Gallegos,-51.62,-69.22,59.0,30,75,38.03,AR,broken clouds
140,Nikolskoye,59.7,30.79,23.0,92,0,8.95,RU,clear sky
141,Nguruka,-5.11,31.04,65.48,92,85,1.77,TZ,overcast clouds
142,Panguna,-6.32,155.48,75.18,83,0,1.74,PG,clear sky
143,Qaqortoq,60.72,-46.03,23.0,62,75,3.62,GL,broken clouds
144,Betsiamites,48.94,-68.65,26.6,73,90,4.7,CA,overcast clouds
145,Adrar,20.5,-10.07,61.02,26,1,7.09,MR,clear sky
146,Beni,0.5,29.47,63.68,80,17,2.71,CD,few clouds
147,Chuy,-33.7,-53.46,74.62,54,83,9.19,UY,broken clouds
148,Henderson,36.04,-114.98,57.0,32,40,13.87,US,scattered clouds
149,Sydney,-33.87,151.21,70.0,60,75,9.17,AU,broken clouds
150,Maneadero,31.72,-116.57,66.0,40,100,1.99,MX,overcast clouds
151,Pevek,69.7,170.31,6.58,85,100,0.6,RU,overcast clouds
152,Iglesias,39.31,8.54,51.8,87,75,5.82,IT,light rain
153,Mantua,45.17,10.78,42.01,97,76,5.01,IT,broken clouds
154,Victoria,22.29,114.16,69.01,84,97,1.99,HK,overcast clouds
155,Vostok,46.49,135.88,-7.4,92,100,4.12,RU,overcast clouds
156,Hilo,19.73,-155.09,78.8,74,75,8.05,US,light rain
157,Ixtapa,20.7,-105.2,79.0,81,88,7.0,MX,light rain
158,Qaanaaq,77.48,-69.36,16.99,80,100,7.36,GL,overcast clouds
159,Bengkulu,-3.8,102.27,75.29,76,99,7.07,ID,overcast clouds
160,Praia Da Vitoria,38.73,-27.07,62.01,82,20,18.97,PT,few clouds
161,Mahebourg,-20.41,57.7,75.2,83,75,11.41,MU,shower rain
162,Moose Factory,51.26,-80.61,17.6,78,90,8.05,CA,light snow
163,Faanui,-16.48,-151.75,79.2,77,100,13.98,PF,overcast clouds
164,Motygino,58.18,94.76,-15.41,88,99,2.51,RU,overcast clouds
165,Paamiut,61.99,-49.67,29.55,86,100,12.97,GL,overcast clouds
166,Poronaysk,49.22,143.12,8.76,85,0,5.12,RU,clear sky
167,Hithadhoo,-0.6,73.08,81.59,78,30,15.79,MV,scattered clouds
168,Tukrah,32.53,20.58,62.2,83,68,16.55,LY,light rain
169,Morrope,-6.54,-80.01,75.2,60,0,23.04,PE,clear sky
170,Maldonado,-34.67,-54.92,86.0,30,0,9.17,UY,clear sky
171,Mindif,10.4,14.44,79.56,17,100,9.01,CM,overcast clouds
172,Dikson,73.51,80.55,-7.15,91,100,10.89,RU,overcast clouds
173,Luanda,-8.84,13.23,77.0,78,0,8.05,AO,clear sky
174,Balclutha,-46.23,169.75,53.01,53,100,18.99,NZ,overcast clouds
175,Mpika,-11.83,31.45,64.35,92,100,2.68,ZM,overcast clouds
176,Tsiroanomandidy,-18.77,46.03,65.88,92,97,4.52,MG,light rain
177,Tual,-5.67,132.75,84.16,64,77,2.28,ID,broken clouds
178,Zelenets,61.88,50.75,19.4,79,90,6.71,RU,light shower snow
179,Parrita,9.52,-84.32,78.8,47,0,17.22,CR,clear sky
180,Marawi,8.0,124.29,75.0,87,96,5.99,PH,overcast clouds
181,Airai,-8.93,125.41,61.65,100,100,1.5,TL,overcast clouds
182,Aklavik,68.22,-135.01,-32.8,73,20,4.7,CA,few clouds
183,Kasongo-Lunda,-6.47,16.82,70.0,92,99,1.86,CD,overcast clouds
184,Forestville,38.85,-76.88,63.0,55,1,12.75,US,clear sky
