City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,Sigulda,57.15,24.86,27.0,91,100,5.01,LV,2020-12-02 20:11:21
153,Kandrian,-6.22,149.55,77.05,83,91,3.4,PG,2020-12-02 20:11:22
154,Palmer,42.16,-72.33,39.99,65,100,1.99,US,2020-12-02 20:11:22
155,Neryungri,56.67,124.65,6.1,92,99,7.4,RU,2020-12-02 20:11:22
156,Bose,45.46,8.01,36.0,97,100,1.14,IT,2020-12-02 20:11:22
157,Kieta,-6.22,155.63,79.86,76,100,3.89,PG,2020-12-02 20:11:22
158,Daud Khel,32.88,71.57,64.06,31,0,0.56,PK,2020-12-02 20:11:23
159,Ponta Do Sol,32.67,-17.1,66.2,82,20,10.29,PT,2020-12-02 20:11:23
160,Iskateley,67.68,53.15,23.67,97,100,13.8,RU,2020-12-02 20:11:23
161,Wanaka,-44.7,169.15,47.05,67,7,7.94,NZ,2020-12-02 20:11:23
162,Magadan,59.57,150.8,11.86,94,98,9.44,RU,2020-12-02 20:11:24
163,Muli,2.92,73.57,82.78,76,93,17.49,MV,2020-12-02 20:11:24
164,Kadur,13.55,76.01,61.77,89,100,3.13,IN,2020-12-02 20:11:24
165,Qasigiannguit,68.82,-51.19,10.4,66,40,21.92,GL,2020-12-02 20:11:24
166,Norman Wells,65.28,-126.83,30.2,80,75,11.41,CA,2020-12-02 20:11:25
167,Rawah,34.48,41.91,55.29,59,0,2.01,IQ,2020-12-02 20:11:25
168,Hovd,48.01,91.64,5.29,91,69,1.28,MN,2020-12-02 20:11:25
169,Yerbogachen,61.28,108.01,8.44,93,100,16.02,RU,2020-12-02 20:11:25
170,Batouri,4.43,14.37,74.43,37,44,1.45,CM,2020-12-02 20:11:25
171,Bethel,41.37,-73.41,39.2,55,90,13.87,US,2020-12-02 20:11:25
172,Wanning,18.8,110.4,66.6,79,61,11.61,CN,2020-12-02 20:11:26
173,Srednekolymsk,67.45,153.68,-17.55,81,80,3.36,RU,2020-12-02 20:11:26
174,Carnarvon,-24.87,113.63,71.6,68,0,18.34,AU,2020-12-02 20:08:47
175,Saint George,37.1,-113.58,51.8,20,1,14.99,US,2020-12-02 20:11:26
176,Bontang,0.13,117.5,75.27,90,72,3.51,ID,2020-12-02 20:11:26
177,Zhigansk,66.77,123.37,-5.53,91,100,15.82,RU,2020-12-02 20:11:27
178,Upernavik,72.79,-56.15,18.54,92,100,14.09,GL,2020-12-02 20:08:25
179,Faya,18.39,42.45,60.8,82,0,1.32,SA,2020-12-02 20:11:27
180,Haines Junction,60.75,-137.51,36.63,87,100,4.59,CA,2020-12-02 20:11:27
181,Vestmanna,62.16,-7.17,33.8,75,35,2.24,FO,2020-12-02 20:11:27
182,Bathsheba,13.22,-59.52,84.2,66,40,10.29,BB,2020-12-02 20:11:28
183,Ponta Delgada,37.73,-25.67,60.8,77,75,23.04,PT,2020-12-02 20:11:28
184,Gushikawa,26.35,127.87,69.8,94,90,12.75,JP,2020-12-02 20:11:28
185,Oistins,13.07,-59.53,84.2,66,40,10.29,BB,2020-12-02 20:11:28
186,Burnie,-41.07,145.92,52.0,83,100,1.99,AU,2020-12-02 20:11:28
187,Pahrump,36.21,-115.98,57.99,20,0,2.15,US,2020-12-02 20:11:29
188,Klaksvik,62.23,-6.59,33.8,68,25,2.24,FO,2020-12-02 20:11:29
189,Donji Vakuf,44.14,17.4,37.0,95,100,25.01,BA,2020-12-02 20:09:02
190,Kokopo,-4.35,152.26,75.18,92,100,4.38,PG,2020-12-02 20:11:29
191,Stornoway,58.21,-6.39,35.01,74,100,4.7,GB,2020-12-02 20:11:30
192,Goderich,43.75,-81.72,39.2,55,0,13.87,CA,2020-12-02 20:11:30
193,Primorsko-Akhtarsk,46.05,38.17,43.5,76,100,16.2,RU,2020-12-02 20:11:31
194,Yumen,40.28,97.2,15.03,90,91,10.56,CN,2020-12-02 20:11:31
195,Bilma,18.69,12.92,66.2,23,0,3.96,NE,2020-12-02 20:11:31
196,Barcelona,41.39,2.16,52.0,57,0,1.12,ES,2020-12-02 20:10:19
197,Yar-Sale,66.83,70.83,14.58,94,90,14.18,RU,2020-12-02 20:11:32
198,Ouahigouya,13.58,-2.42,80.71,16,3,7.49,BF,2020-12-02 20:11:32
199,Inhambane,-23.86,35.38,71.6,94,75,9.17,MZ,2020-12-02 20:11:32
200,Mount Isa,-20.73,139.5,77.0,50,50,1.12,AU,2020-12-02 20:11:33
201,Okha,53.57,142.95,10.44,95,95,17.43,RU,2020-12-02 20:11:33
202,Dudinka,69.41,86.18,21.2,100,90,26.84,RU,2020-12-02 20:11:33
203,Tabuk,17.42,121.44,73.87,92,100,10.51,PH,2020-12-02 20:11:33
204,Letlhakane,-21.42,25.58,77.27,58,98,18.92,BW,2020-12-02 20:11:34
205,Dunedin,-45.87,170.5,55.99,49,38,21.0,NZ,2020-12-02 20:08:22
206,Saskylakh,71.92,114.08,18.59,96,100,12.71,RU,2020-12-02 20:11:34
207,Kodiak,57.79,-152.41,26.6,63,20,13.87,US,2020-12-02 20:11:34
208,Acapulco,16.86,-99.89,86.0,70,20,5.82,MX,2020-12-02 20:09:41
209,Guerrero Negro,27.98,-114.06,77.86,16,7,5.14,MX,2020-12-02 20:11:35
210,Athabasca,54.72,-113.29,32.0,79,3,3.36,CA,2020-12-02 20:08:16
211,Qena,26.16,32.72,60.8,59,0,2.24,EG,2020-12-02 20:11:35
212,Torbay,47.67,-52.73,52.0,100,90,16.11,CA,2020-12-02 20:11:36
213,Tukrah,32.53,20.58,61.52,67,99,5.08,LY,2020-12-02 20:11:36
214,Pitimbu,-7.47,-34.81,84.2,70,75,11.41,BR,2020-12-02 20:09:00
215,Caravelas,-17.71,-39.25,80.1,74,98,10.54,BR,2020-12-02 20:11:37
216,Saint-Joseph,-21.37,55.62,75.2,78,0,4.7,RE,2020-12-02 20:11:37
217,Tiksi,71.69,128.87,-7.29,89,79,8.14,RU,2020-12-02 20:11:37
218,Ghogha,21.68,72.28,78.85,44,0,9.91,IN,2020-12-02 20:11:37
219,Pocone,-16.26,-56.62,96.78,32,91,5.17,BR,2020-12-02 20:11:37
220,Charters Towers,-20.1,146.27,72.5,89,90,6.69,AU,2020-12-02 20:11:38
221,Grand Gaube,-20.01,57.66,79.0,83,72,7.0,MU,2020-12-02 20:11:38
222,Petropavlovsk-Kamchatskiy,53.05,158.65,3.2,71,0,8.95,RU,2020-12-02 20:11:38
223,Weyburn,49.67,-103.85,33.8,43,53,8.05,CA,2020-12-02 20:07:13
224,Entebbe,0.06,32.45,71.6,88,75,2.24,UG,2020-12-02 20:11:39
225,Kamenka,51.32,42.77,16.29,85,33,10.33,RU,2020-12-02 20:11:39
226,Mercedes,-34.65,-59.43,66.99,86,100,1.99,AR,2020-12-02 20:11:12
227,Zhanaozen,43.3,52.8,31.37,92,100,11.54,KZ,2020-12-02 20:11:39
228,Mackay,-21.15,149.2,78.8,74,40,10.29,AU,2020-12-02 20:11:39
229,Muromtsevo,56.37,75.24,3.4,94,17,4.16,RU,2020-12-02 20:11:40
230,Victoria,22.29,114.16,63.0,70,0,3.0,HK,2020-12-02 20:06:47
231,Tulsipur,28.13,82.3,57.99,50,0,5.01,NP,2020-12-02 20:11:40
232,Paranaiba,-19.68,-51.19,90.37,44,98,4.97,BR,2020-12-02 20:11:40
233,Palu,-0.89,119.87,74.23,77,76,2.44,ID,2020-12-02 20:11:40
234,Lagoa,39.05,-27.98,61.74,79,44,25.88,PT,2020-12-02 20:11:41
235,Buchanan,5.88,-10.05,80.6,88,40,5.82,LR,2020-12-02 20:11:41
236,Shimoda,34.67,138.95,43.0,91,46,4.7,JP,2020-12-02 20:11:41
237,Portland,45.52,-122.68,52.0,37,1,23.04,US,2020-12-02 20:10:40
238,Charagua,-19.8,-63.22,96.8,28,43,11.41,BO,2020-12-02 20:11:42
239,Veraval,20.9,70.37,76.91,58,0,6.42,IN,2020-12-02 20:11:42
240,Santiago Del Estero,-27.8,-64.26,90.0,37,0,8.99,AR,2020-12-02 20:11:42
241,Vrnograc,45.16,15.95,30.2,92,90,4.7,BA,2020-12-02 20:11:02
242,Saint-Pierre,-21.34,55.48,75.2,78,0,5.82,RE,2020-12-02 20:11:42
243,Anadyr,64.75,177.48,-16.6,75,75,6.71,RU,2020-12-02 20:11:43
