City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
958,Cape Coral,US,82.0,clear sky,26.56,-81.95,"Hampton Inn & Suites - Cape Coral/Fort Myers Area, FL"
960,Santa Marta,CO,89.01,few clouds,11.24,-74.2,Hotel La Ballena Azul
962,San Andres,CO,86.0,few clouds,12.58,-81.7,Hotel Arena Blanca
972,The Valley,AI,86.0,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
978,Ambon,ID,82.99,moderate rain,-3.7,128.18,Swiss-Belhotel Ambon
979,Cururupu,BR,83.25,overcast clouds,-1.83,-44.87,Pousada Través'cia
981,Boa Vista,BR,86.0,shower rain,2.82,-60.67,Aipana Plaza Hotel
982,Vega De Alatorre,MX,76.84,overcast clouds,20.03,-96.63,Hotel Deluxe
984,Kendari,ID,76.35,overcast clouds,-3.94,122.5,Hotel Wixel
986,Muana,BR,84.76,light rain,-1.53,-49.22,Pousada Bella do Marajó
988,Chopinzinho,BR,82.15,overcast clouds,-25.86,-52.52,Hotel e Churrascaria Petisqueira
991,Quatre Cocos,MU,75.2,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
1001,Moerai,PF,77.67,scattered clouds,-22.43,-151.33,Le Manotel
1002,Querecotillo,PE,89.67,overcast clouds,-4.84,-80.65,La casa de Roberto
1005,Lakeland Highlands,US,75.0,broken clouds,27.96,-81.95,Imperial Swan Hotel Of Lakeland
1007,Nyanguge,TZ,75.2,scattered clouds,-2.55,33.2,Kisandu Guest House
1008,Boca Do Acre,BR,82.8,light rain,-8.75,-67.4,Hotel Linhares
1009,George Town,MY,77.0,scattered clouds,5.41,100.34,Cititel Penang
1015,Beaufort,MY,77.0,few clouds,5.35,115.75,The Gem Hotel Beaufort
1020,Rio Grande,BR,84.2,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
1025,Rio Brilhante,BR,88.07,few clouds,-21.8,-54.55,Hotel Cattani
1028,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
1029,Sao Felix Do Xingu,BR,89.01,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
1030,Goiatuba,BR,79.3,light rain,-18.01,-49.35,Hotel Barrocos
1035,Iquitos,PE,89.6,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
1037,Gao,ML,77.58,clear sky,16.64,1.64,
1041,Torres,BR,78.17,broken clouds,-29.34,-49.73,Farol Hotel
1042,Tres Arroyos,AR,80.67,light rain,-38.37,-60.28,Habitacion Triple con baño y entrada privada
1044,Apiai,BR,78.28,broken clouds,-24.51,-48.84,Pousada Villa Branca
1055,Paluan,PH,80.55,clear sky,13.42,120.46,Calawagan Mountain Resort
1056,Inhambane,MZ,80.6,few clouds,-23.86,35.38,Oceano
1058,Marovoay,MG,75.2,moderate rain,-16.1,46.63,
1075,Jaffna,LK,77.54,scattered clouds,9.67,80.01,Green Grass Hotel & Restaurant
1081,Lufilufi,WS,77.0,moderate rain,-13.87,-171.6,Leuaina Beach Resort and Spa
